date,count
2012-07-05,19268
2012-07-06,19182
2012-07-07,12835
2012-07-08,13365
2012-07-09,20486
2012-07-10,21706
2012-07-11,21626
2012-07-12,21252
2012-07-13,20151
2012-07-14,12797
2012-07-15,13483
2012-07-16,20626
2012-07-17,21534
2012-07-18,21272
2012-07-19,20996
2012-07-20,19689
2012-07-21,12728
2012-07-22,13196
2012-07-23,20682
2012-07-24,21436
2012-07-25,20928
2012-07-26,20682
2012-07-27,19471
2012-07-28,12348
2012-07-29,13181
2012-07-30,20472
2012-07-31,20755
2012-08-01,20981
2012-08-02,20754
2012-08-03,19474
2012-08-04,12608
2012-08-05,13300
2012-08-06,20171
2012-08-07,21381
2012-08-08,21414
2012-08-09,21189
2012-08-10,20258
2012-08-11,13126
2012-08-12,13542
2012-08-13,21095
2012-08-14,21820
2012-08-15,20412
2012-08-16,20654
2012-08-17,19865
2012-08-18,13124
2012-08-19,13500
2012-08-20,21156
2012-08-21,22188
2012-08-22,22133
2012-08-23,21972
2012-08-24,20575
2012-08-25,13606
2012-08-26,14147
2012-08-27,21513
2012-08-28,22396
2012-08-29,22023
2012-08-30,22032
2012-08-31,20667
2012-09-01,13193
2012-09-02,14236
2012-09-03,19533
2012-09-04,22529
2012-09-05,23006
2012-09-06,22463
2012-09-07,21547
2012-09-08,14061
2012-09-09,15149
2012-09-10,22730
2012-09-11,23336
2012-09-12,23521
2012-09-13,23435
2012-09-14,21632
2012-09-15,14370
2012-09-16,15122
2012-09-17,23351
2012-09-18,24066
2012-09-19,23742
2012-09-20,23585
2012-09-21,22157
2012-09-22,14539
2012-09-23,15735
2012-09-24,23613
2012-09-25,24315
2012-09-26,24513
2012-09-27,23950
2012-09-28,22489
2012-09-29,15130
2012-09-30,15516
2012-10-01,22938
2012-10-02,23758
2012-10-03,24048
2012-10-04,23651
2012-10-05,22488
2012-10-06,15261
2012-10-07,16074
2012-10-08,24300
2012-10-09,26112
2012-10-10,26118
2012-10-11,25481
2012-10-12,23749
2012-10-13,16161
2012-10-14,17196
2012-10-15,25711
2012-10-16,26368
2012-10-17,26436
2012-10-18,25588
2012-10-19,24120
2012-10-20,16546
2012-10-21,17939
2012-10-22,26790
2012-10-23,26904
2012-10-24,27135
2012-10-25,26631
2012-10-26,24735
2012-10-27,16414
2012-10-28,17832
2012-10-29,26382
2012-10-30,27051
2012-10-31,26630
2012-11-01,25001
2012-11-02,24505
2012-11-03,17411
2012-11-04,18421
2012-11-05,27468
2012-11-06,28425
2012-11-07,27405
2012-11-08,28017
2012-11-09,26332
2012-11-10,18246
2012-11-11,19133
2012-11-12,27814
2012-11-13,28922
2012-11-14,28695
2012-11-15,28078
2012-11-16,26404
2012-11-17,18254
2012-11-18,19573
2012-11-19,28486
2012-11-20,28976
2012-11-21,28161
2012-11-22,24228
2012-11-23,22550
2012-11-24,17484
2012-11-25,19188
2012-11-26,28974
2012-11-27,29963
2012-11-28,30244
2012-11-29,29538
2012-11-30,26786
2012-12-01,19253
