date,count
2012-06-04,56332
2012-06-05,58499
2012-06-06,57888
2012-06-07,58529
2012-06-08,56516
2012-06-09,39550
2012-06-10,42782
2012-06-11,58634
2012-06-12,61567
2012-06-13,63079
2012-06-14,61747
2012-06-15,57862
2012-06-16,40002
2012-06-17,38889
2012-06-18,58165
2012-06-19,61777
2012-06-20,61348
2012-06-21,61223
2012-06-22,56826
2012-06-23,38903
2012-06-24,42805
2012-06-25,60504
2012-06-26,63784
2012-06-27,61203
2012-06-28,60036
2012-06-29,56253
2012-06-30,37431
2012-07-01,40472
2012-07-02,58142
2012-07-03,61927
2012-07-04,59084
2012-07-05,65855
2012-07-06,61528
2012-07-07,41485
2012-07-08,43431
2012-07-09,63759
2012-07-10,67379
2012-07-11,65577
2012-07-12,66280
2012-07-13,62320
2012-07-14,37807
2012-07-15,41543
2012-07-16,59833
2012-07-17,64086
2012-07-18,62545
2012-07-19,61800
2012-07-20,58102
2012-07-21,38240
2012-07-22,41919
2012-07-23,60636
2012-07-24,62819
2012-07-25,61767
2012-07-26,61365
2012-07-27,57143
2012-07-28,37094
2012-07-29,40696
2012-07-30,59102
2012-07-31,60697
2012-08-01,62178
2012-08-02,65217
2012-08-03,64145
2012-08-04,45196
2012-08-05,47113
2012-08-06,64349
2012-08-07,67505
2012-08-08,68335
2012-08-09,68213
2012-08-10,66034
2012-08-11,44453
2012-08-12,46473
2012-08-13,66297
2012-08-14,70009
2012-08-15,65390
2012-08-16,65618
2012-08-17,63691
2012-08-18,45726
2012-08-19,48426
2012-08-20,67920
2012-08-21,71331
2012-08-22,71370
2012-08-23,66805
2012-08-24,60805
2012-08-25,42495
2012-08-26,44588
2012-08-27,63551
2012-08-28,65942
2012-08-29,64496
2012-08-30,66306
2012-08-31,61299
2012-09-01,40147
2012-09-02,43335
2012-09-03,58593
2012-09-04,65964
2012-09-05,68097
2012-09-06,66097
2012-09-07,63956
2012-09-08,42130
2012-09-09,45935
2012-09-10,65197
2012-09-11,68248
2012-09-12,70811
2012-09-13,71555
2012-09-14,63999
2012-09-15,45707
2012-09-16,47148
2012-09-17,68574
2012-09-18,72508
2012-09-19,71002
2012-09-20,70086
2012-09-21,67361
2012-09-22,45559
2012-09-23,49966
2012-09-24,69971
2012-09-25,71640
2012-09-26,72147
2012-09-27,71875
2012-09-28,66893
2012-09-29,47096
2012-09-30,48785
2012-10-01,67780
2012-10-02,70493
2012-10-03,72179
2012-10-04,70937
2012-10-05,67060
2012-10-06,47237
2012-10-07,49903
2012-10-08,70416
2012-10-09,77323
2012-10-10,78969
2012-10-11,76952
2012-10-12,71794
2012-10-13,50857
2012-10-14,55766
2012-10-15,76684
2012-10-16,79295
2012-10-17,78666
2012-10-18,75444
2012-10-19,73784
2012-10-20,52245
2012-10-21,56038
2012-10-22,79023
2012-10-23,80182
2012-10-24,81588
2012-10-25,80328
2012-10-26,75154
2012-10-27,52268
2012-10-28,56513
2012-10-29,77426
2012-10-30,80842
2012-10-31,79932
2012-11-01,74475
2012-11-02,72835
2012-11-03,54079
2012-11-04,57659
2012-11-05,81726
2012-11-06,84635
2012-11-07,80731
2012-11-08,83483
2012-11-09,78175
2012-11-10,57248
2012-11-11,60402
2012-11-12,81554
2012-11-13,85988
2012-11-14,84996
2012-11-15,83353
2012-11-16,78610
2012-11-17,57051
2012-11-18,61604
2012-11-19,83743
2012-11-20,86377
2012-11-21,83852
2012-11-22,70843
2012-11-23,66879
2012-11-24,53690
2012-11-25,58307
2012-11-26,85386
2012-11-27,88891
2012-11-28,90625
2012-11-29,89167
2012-11-30,79333
2012-12-01,59392
2012-12-02,66776
2012-12-03,89805
2012-12-04,91945
2012-12-05,90733
2012-12-06,90181
2012-12-07,79245
2012-12-08,57439
2012-12-09,62191
2012-12-10,86424
2012-12-11,90748
2012-12-12,87531
2012-12-13,88091
2012-12-14,84805
2012-12-15,55506
2012-12-16,59806
2012-12-17,83413
2012-12-18,85306
2012-12-19,83681
2012-12-20,81846
2012-12-21,70915
2012-12-22,47857
2012-12-23,42420
2012-12-24,49428
2012-12-25,40464
2012-12-26,53566
2012-12-27,63549
2012-12-28,63057
2012-12-29,51628
2012-12-30,51400
2012-12-31,15747
2013-01-01,31877
2013-01-02,70166
2013-01-03,77666
2013-01-04,79067
2013-01-05,59910
2013-01-06,62403
2013-01-07,83704
2013-01-08,89515
2013-01-09,91930
2013-01-10,92470
2013-01-11,88791
2013-01-12,63952
2013-01-13,69454
2013-01-14,92120
2013-01-15,96170
2013-01-16,95210
2013-01-17,95281
2013-01-18,90131
2013-01-19,66458
2013-01-20,71165
2013-01-21,90673
2013-01-22,97634
2013-01-23,99447
2013-01-24,99844
2013-01-25,95414
2013-01-26,74511
2013-01-27,78557
2013-01-28,96695
2013-01-29,102236
2013-01-30,103678
2013-01-31,118630
2013-02-01,93085
2013-02-02,67479
2013-02-03,75286
2013-02-04,93846
2013-02-05,101211
2013-02-06,99760
2013-02-07,100768
2013-02-08,93081
2013-02-09,67396
2013-02-10,73997
2013-02-11,94944
2013-02-12,99688
2013-02-13,96573
2013-02-14,94401
2013-02-15,89528
2013-02-16,70458
2013-02-17,76366
2013-02-18,102750
2013-02-19,108549
2013-02-20,110127
2013-02-21,108963
2013-02-22,103259
2013-02-23,76906
2013-02-24,81802
2013-02-25,106591
2013-02-26,111998
2013-02-27,112988
2013-02-28,110472
2013-03-01,103705
2013-03-02,77858
2013-03-03,82220
2013-03-04,108967
2013-03-05,112205
2013-03-06,108013
2013-03-07,109614
2013-03-08,102804
2013-03-09,75011
2013-03-10,80390
2013-03-11,109876
2013-03-12,114239
2013-03-13,113739
2013-03-14,108966
2013-03-15,105174
2013-03-16,76082
2013-03-17,83132
2013-03-18,110743
2013-03-19,118226
2013-03-20,118419
2013-03-21,115254
2013-03-22,110654
2013-03-23,74723
2013-03-24,85437
2013-03-25,116365
2013-03-26,120005
2013-03-27,117379
2013-03-28,110889
2013-03-29,106298
2013-03-30,80988
2013-03-31,80597
2013-04-01,106071
2013-04-02,118064
2013-04-03,114530
2013-04-04,112279
2013-04-05,111700
2013-04-06,81416
2013-04-07,90509
2013-04-08,118926
2013-04-09,120526
2013-04-10,119960
2013-04-11,120151
2013-04-12,115280
2013-04-13,80918
2013-04-14,83507
2013-04-15,112663
2013-04-16,119800
2013-04-17,122356
2013-04-18,127934
2013-04-19,114894
2013-04-20,88377
2013-04-21,86419
2013-04-22,119096
2013-04-23,127272
2013-04-24,122614
2013-04-25,118242
2013-04-26,104875
2013-04-27,83326
2013-04-28,89876
2013-04-29,115767
2013-04-30,114456
2013-05-01,109132
2013-05-02,116614
2013-05-03,110995
2013-05-04,77820
2013-05-05,80587
2013-05-06,112475
2013-05-07,114151
2013-05-08,117096
2013-05-09,120805
2013-05-10,110932
2013-05-11,78221
2013-05-12,81300
2013-05-13,117810
2013-05-14,125387
2013-05-15,118815
2013-05-16,119589
2013-05-17,114256
2013-05-18,77154
2013-05-19,82237
2013-05-20,113847
2013-05-21,120106
2013-05-22,123154
2013-05-23,121875
2013-05-24,112648
2013-05-25,77255
2013-05-26,80937
2013-05-27,105015
2013-05-28,122023
2013-05-29,121639
2013-05-30,117313
2013-05-31,111205
2013-06-01,75431
2013-06-02,83594
2013-06-03,119815
2013-06-04,124563
2013-06-05,124396
2013-06-06,123068
2013-06-07,114234
2013-06-08,77912
2013-06-09,81861
2013-06-10,112731
2013-06-11,115468
2013-06-12,113908
2013-06-13,116261
2013-06-14,109424
2013-06-15,71163
2013-06-16,76387
2013-06-17,113297
2013-06-18,121421
2013-06-19,121174
2013-06-20,116023
2013-06-21,110048
2013-06-22,70731
2013-06-23,78436
2013-06-24,114675
2013-06-25,123509
2013-06-26,121197
2013-06-27,119107
2013-06-28,109649
2013-06-29,73438
2013-06-30,75755
2013-07-01,113733
2013-07-02,114050
2013-07-03,119200
2013-07-04,104117
2013-07-05,106400
2013-07-06,75990
2013-07-07,80519
2013-07-08,119174
2013-07-09,131227
2013-07-10,135699
2013-07-11,132835
2013-07-12,120790
2013-07-13,78248
2013-07-14,83055
2013-07-15,128485
2013-07-16,127685
2013-07-17,127716
2013-07-18,128511
2013-07-19,120865
2013-07-20,79828
2013-07-21,80284
2013-07-22,122221
2013-07-23,130227
2013-07-24,125863
2013-07-25,123754
