S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26
48971,21170,26181,5355,29346,39035,27802,52715,25190,34678,14602,369795,65437,69464,25559,35917,16257,59228,36948,10268,49006,51000,34985,61582,237996,107334
80146,29043,43870,8445,53012,47512,62276,57182,39190,79416,15924,595246,75053,75314,29517,44432,28589,59507,32362,22327,58482,59263,48712,61643,262115,144231
53218,35072,52926,13331,86994,29541,35853,48402,43273,73418,28501,621455,84856,127149,36972,41230,32818,62458,26770,17254,44239,66610,43243,77025,281372,148121
63174,26251,43154,36328,67547,46887,19043,47726,44445,44707,32695,520701,93409,84166,35315,59019,37704,82702,41879,16119,42987,77476,52022,73608,299802,187356
207907,82743,209377,118110,207180,145357,54286,87438,139400,126064,130430,1080600,372357,74653,53701,114945,86514,165562,60236,36114,78517,129482,97159,94614,451779,344369
73772,30336,82638,71903,69488,50136,16705,39109,105314,83707,77978,747931,376742,67155,43928,48241,39257,84003,30143,35892,44587,81699,60775,93496,372499,233328
50538,21034,26263,18618,22592,21263,10323,38363,48099,56943,35484,486494,105918,61211,33878,39158,26036,56395,19271,7084,52883,52908,49529,69402,274359,147185
130341,95075,77225,71980,82518,84962,51752,132494,89885,154504,114604,945790,238550,104202,51127,68324,46318,86662,48277,26965,109746,84984,87865,139091,416317,242362
98806,86483,23698,52024,82820,37222,31057,146530,75706,108256,100434,719111,243982,79530,47380,48158,41755,75885,31139,17589,66271,78972,56195,91998,376282,194264
102147,82319,49879,99856,142382,40117,23222,42904,73940,100878,37000,765493,238298,100888,41014,50804,32823,85525,42815,23915,57272,93871,63052,99723,438442,251876
389705,151510,193738,201553,391703,160024,77800,232930,300764,256204,289500,2625116,606537,200478,82125,122405,103631,154916,85545,56239,123672,197665,140230,228203,695987,433027
127029,27365,50687,49581,78446,39612,34693,76107,72474,109077,74673,914640,153204,80255,38620,45187,40219,96126,26126,14303,69341,85873,45252,102308,382079,208485
107921,21789,21161,6971,42600,27696,12146,45932,35363,42814,47791,442808,61784,70573,28384,34474,19125,69847,27459,15041,48884,74505,36273,74239,265788,118223
74996,30401,50553,11742,68069,64644,59785,69953,39821,64694,20244,577552,81122,88497,29870,61246,29642,71306,46917,21835,80882,67535,53931,84555,298428,165505
83769,29788,44419,15639,97502,35883,42448,55643,34864,73073,32045,729682,98681,89655,41150,44325,37565,82761,31158,16040,62213,84990,50135,91810,348993,183096
58793,29040,60354,36931,62525,41209,19936,46166,43344,37422,38114,563362,105741,80333,32684,50494,35825,86202,41179,16556,58521,84216,50120,89890,326354,178483
203192,81584,173649,137891,224047,150222,67176,98919,163710,143449,143101,1097411,337613,130132,55758,122611,84680,166090,85015,44768,94265,149388,107915,121281,517336,373621
105348,30705,89855,79184,94007,62655,21908,48776,131345,128894,48126,936521,455317,66120,50757,49353,56042,107132,32670,21168,72486,91653,65577,106181,441343,271489
59643,14962,24050,15134,38688,29696,8470,54521,45372,39833,34004,478363,94499,73061,34278,41131,25705,68503,25112,16599,87863,65569,56231,86218,335977,170191
157812,86330,72073,74615,75989,92901,45157,176255,58066,143745,121025,921921,255009,121401,52542,64846,49355,100832,56374,40283,154850,90817,89682,153244,497234,260321
109910,81536,29107,68406,123821,50979,41270,177593,135479,132128,99789,802519,299237,120094,51941,53187,44720,96792,40225,20813,77311,93915,65666,114077,457011,245346
116991,84215,48258,77281,139743,42885,15442,42450,56031,110982,49393,825480,203149,72407,47093,54617,38061,96711,44547,28287,61930,93143,65132,113392,491309,256888
393436,198567,152491,217118,446403,134993,85278,262713,319484,307149,391681,2683577,648191,203451,91895,122887,109027,160811,83487,61197,110542,197077,141117,253871,787899,449238
204023,27123,57428,60679,94402,37977,23186,73082,87701,90719,59168,1053091,160094,102375,47193,54560,44448,111030,32105,20951,79919,109567,57817,125214,497356,255278
55346,20466,24729,4275,35178,22238,29170,34400,42175,46888,22137,515444,57708,67446,34045,31791,36244,77850,26429,13242,50568,77916,42863,83497,299376,134204
